Pathway	pVal	zScore	Genes	type
ST1926 Signaling	21.0231916626619	4.437	CDKN1A,CLIC1,COX7A2,COX7A2L,COX7C,EIF3E,EIF4G2,ITM2B,KPNA2,LGALS1,NACA,PABPC1,PDIA3,RBX1,RPL10,RPL13,RPL18A,RPL19,RPL24,RPL29,RPL32,RPL36A,RPL39,RPL6,RPL8,RPS15,RPS2,RPS27,RPS27A,SNRPD2,SOX11,SOX4,SRSF3,TMSB10/TMSB4X,TXN,UBA52,UBL5,UQCRB,UQCRH,UXT	Upstream
SOX2 Signaling	15.8996294548824	4.428	AFAP1L2,ASCL1,BCAN,BCAS1,C1QL1,CALB2,CCND1,CD70,CDKN1A,CDKN1C,CHADL,CLCN3,CNP,COL9A3,DLX1,DLX2,DLX5,ETV5,FABP7,FAM107B,FOS,GAL3ST1,GLTP,GPR17,JAG1,JUN,KANK1,KLF6,KLHDC8A,LIMA1,MBP,MPZL1,NEU4,NKX2-2,NR3C1,OLIG1,OLIG2,PCDH15,PDGFRA,PIK3R1,PIK3R3,PLLP,PLP1,PSAT1,S100A13,SAPCD2,SEMA5A,SEPTIN2,SIRT2,SLC44A1,SNX22,SOX10,SOX2,SOX6,SOX8,SPRY4,TEAD2,TET1,TIMP3,TMEM100,TNR,TUBB3,UGT8,VCAN	Upstream
Glutaminergic Receptor Signaling Pathway (Enhanced)	3.1	4.31455497304005	AKT2,AKT3,ATF4,CACNA1A,CACNG4,CALM1 (includes others),CREB5,GLUD1,GPAA1,GRIA2,GRIA3,GRIA4,GRM5,NR3C1,PDIA3,PIK3R1,PIK3R3,PLAAT1,PLD3,PNPLA8,PRKACB,SCN1A,SCN2A,SCN3A,SLC1A2,SLC1A3	Canonical
lipopolysaccharide Signaling	10.5867002359187	4.299	ABHD12,ACTN4,AIG1,AKT2,ANXA5,APP,ARC,ARL4A,ARL4C,ARMCX6,ASAP1,ATF4,ATP2A2,ATP2B1,B2M,BAMBI,BAX,BCL11B,BRI3,BTG1,CACNA1A,CALCRL,CALM1 (includes others),CALR,CARHSP1,CCN1,CCND1,CCNI,CCNL1,CD47,CD70,CD81,CD82,CDK6,CDKN1A,CNP,CNTN1,COL9A1,COL9A3,COX4I1,CPEB4,CREB5,CSPG4,CTSC,CXCL16,DDT,DDX17,DNAJB1,DNAJC3,EGR1,EGR2,EGR3,EMC10,ETV5,FDFT1,FKBP2,FOS,FOSB,FOXG1,FSCN1,GADD45G,GAS5,GPM6A,GSE1,H1-10,H3-3A/H3-3B,HADHB,HDAC2,HERPUD1,HES1,HM13,HMGA1,HSP90B1,HSPA13,HSPA5,HTRA1,IFNAR1,IL1RAP,IL6ST,INSM1,IRF1,ITGAV,ITGB8,ITM2C,JAG1,JUN,JUNB,JUND,KANK1,KAT2B,KCNJ10,KDELR2,KLF3,KLF6,LAMP1,LGALS1,LRP1,LRRK2,MAFF,MAP3K1,MAP4K4,MCL1,MFF,MIF,MT2A,MTDH,MTSS1,NAMPT,NFE2L2,NR3C1,NUCB1,P4HB,PCDH7,PDE4B,PDIA3,PDIA6,PHLDA1,PID1,PIK3R1,PKM,PLAT,PPP1R15A,PSMA7,RAB10,RAB5A,RAB6A,RACK1,RASSF2,RGCC,RHOB,RND3,RPLP0,RPS14,RPS19,RPS2,RPS5,SAT1,SATB1,SEPTIN2,SERPINE2,SKIL,SLC1A2,SLC3A2,SLC44A1,SOX2,SPARC,SPPL2A,SRSF1,SSBP3,ST6GAL1,STAT3,STMN1,TEK,THY1,TIMP1,TIMP2,TIMP3,TIMP4,TJP1,TM4SF1,TMSB10/TMSB4X,TNK2,TSC22D1,TUBB,TUBB4B,TXN,TXNIP,UCHL1,VCAN,YWHAQ,ZEB1,ZFP36L2	Upstream
PDGF-BB Signaling	19.7986028756795	4.267	ADD3,AKT2,ARF5,ASCL1,ASIC1,ATP2A2,ATP2B1,CALM1 (includes others),CCN1,CCND1,CCNL1,CDKN1A,DAB2,DUSP6,EGR1,EGR2,EGR3,FGFR1,FHL1,FOS,FOSB,HES1,IER2,IGF2,JUN,JUNB,KLF6,MAP2,MAT2A,MCL1,NAMPT,PDGFRA,PFN2,PHLDA1,PLAT,PPP1R15A,PTPRD,RACK1,RBP1,RHOB,RND3,RPL13,RPN2,RPS14,RPS6,SAT1,SKIL,SPRY2,SRSF7,STAT3,SYNE1,TIMP1,TRA2B,UGDH,VCAN,YWHAQ,ZFP36L1	Upstream
IL1B Signaling	4.98296666070122	4.231	AKT3,APP,ARC,ATF4,ATP2A2,B2M,BAMBI,BAX,BBLN,BMP7,CCND1,CD82,CDKN1A,CLU,CXCL16,DAB2,DBI,EGR1,ETV1,FOS,FOSB,GAD2,GAS5,GFRA1,H1-10,H2AX,HES1,HMGA1,HSPA5,IER2,IL1RAP,IRF1,IRS2,ITGAV,ITGB8,JUN,JUNB,JUND,MAP3K1,MCL1,MGLL,MIF,MT2A,MTDH,NAMPT,NFE2L2,NKX2-2,P4HB,PCDH7,PDE4B,PDGFRA,PHLDA1,PLAT,PLD3,RGCC,RHOB,S100B,SAT1,SLC1A2,SLC1A3,SMAD3,SOX2,SOX9,SPARC,STAT3,STMN2,THY1,TIMP1,TIMP2,TIMP3,TIMP4,TJP1,TXNIP,UGDH,VCAN,XYLT1	Upstream
Cell death of tumor cells	36.5900668766687	4.189	IRF1,RPS24,SMARCA4,RPS5,FOS,NFIC,RPS13,RPS19,PSMA7,EIF3E,RPS11,EMP2,RPL19,RPS18,TNFRSF21,PABPC1,TIMP2,RPS12,CD47,CLU,MAP3K1,VCAN,BAX,CD24,RPS27A,HES1,IDH2,JUN,CCN1,MCL1,LGALS1,RPL6,RPL5,RPL38,RPS3A,CDK6,RPS21,BMP7,HDAC2,RACK1,TXN,B2M,AFAP1L2,RPS14,PHLDA1,HSPA9,TSC22D1,RPS28,RPL10,FGFR1,RPL7A,RPL13A,ITGAV,CHD1,SPRY2,RPL37A,STC1,TEK,STAT3,FAU,RND3,RPL27A,BRD2,RPS29,RPL11,RPL35,RPS7,APP,EIF3L,MAGEH1,RPS16,RBM39,RPL7,RPLP0,PRNP,NR3C1,RHOB,CCND1,UBB,VCP,LRRK2,EIF3F,SOX4,RPL27,TIMP4,RPL35A,PIK3R1,PTN,BEX2,RPL9,RPS15A,RPL37,CDKN1A,RPL31,PURPL,MIF,PON2,JAG1,RPL13,AKT2,SON,SPARC,IL6ST,RPS3,ATF4,SOX11,NAMPT,COPA,TIMP1,NFE2L2	Functional
Infection by RNA virus	9.03668448861389	4.179	IRF1,NTSR1,PDIA6,CCNG1,PKM,IFNAR1,MAT2A,ENC1,PAK3,FOS,ARGLU1,TUBA1A,PSMA7,ST6GAL1,LRP1,HNRNPDL,PGM1,TXNIP,RSRP1,APOD,HSP90B1,PABPC1,H3-3A/H3-3B,CLDND1,CD70,CHL1,CLU,VCAN,EIF3H,BCLAF1,ERBB3,HES1,BCL11A,JUNB,EPN2,TMEM106B,LGALS1,HNRNPU,RHOC,CRMP1,RAB6A,PDE4B,CD82,TUBB2A,RBM25,SDF4,RPL5,CALCRL,PHPT1,SLC1A3,NTRK2,NT5E,HDAC2,PLOD2,RACK1,KLF6,RAB5A,PLAT,EGR1,B2M,CACNA1A,PPP2R2A,RAB3A,HSPA9,PPM1K,TIAL1,FNIP1,ATP6AP2,RPL10,PSD3,AASS,TUBB3,CHADL,XKR4,EEA1,FAU,CXCL16,AGAP1,DDOST,CD81,SEPTIN8,SRSF6,TLE5,RPS6,DNAJB1,PDGFRA,DBN1,APP,TUBB4B,KHDRBS1,PRKX,ANK3,TTC3,SCN1A,NR3C1,RHOB,PPP1R15A,PDIA3,VCP,MGLL,IER2,SPCS3,MT2A,HNRNPF,SELENOK,AP1S2,TMEM123,ZFP36L2,RPL12,DLGAP4,KLRC2,CDKN1A,RBM5,NLGN3,TUBB,TRAPPC1,SRSF2,HIP1R,SAT1,FDFT1,PPIB,ACAA1,SERPINB6,ARL4C,SPARC,ARC,EGR3,NAMPT,COPA,SYNE1,HSPA5,SLC2A13,SEZ6L2,TIMP1,DAB2	Functional
TNF Signaling	14.430626090385	4.172	ACSL3,ADGRB1,AKT3,ANK3,APP,ARC,ATF4,ATP2A2,ATP2B1,B2M,BAMBI,BAX,BTG1,BTG3,CALR,CCN1,CCND1,CD47,CD70,CD82,CDH13,CDKN1A,CDKN2C,CERS4,CHST11,CLU,CNP,COL16A1,COTL1,COX4I1,CTSC,CTSD,CXCL16,DBI,DDT,DLX1,DUSP6,EGR1,EGR2,EGR3,ELMO1,EMP2,ENAH,ETV5,FARP2,FERMT1,FGFR1,FOS,FOSB,FSCN1,GADD45G,GAS5,HEPACAM,HES1,HSP90B1,HSPA5,HTRA1,IDH2,IER2,IGF2,IGFBP2,IL1RAP,IL6ST,IRF1,IRS2,ITGAV,ITGB8,JAG1,JUN,JUNB,JUND,KCNJ10,KLF6,LAMA4,LRP1,MAFF,MAGI1,MAP4K4,MAT2A,MBP,MCAM,MCL1,MIF,MMP16,MPC1,MT2A,MTDH,NAMPT,NEFM,NFE2L2,NKX2-2,NME3,NR3C1,NSG1,P2RX7,P4HB,PCDH10,PCDH7,PDE4B,PDGFRA,PDZD2,PHGDH,PHLDA1,PKM,PLAT,PLD3,PLOD2,PLP1,PLPP3,PNPLA8,PPP1R15A,PRNP,RAB6A,RAMP1,RARRES2,RBP1,RBX1,RGCC,RHOB,RND3,ROBO1,RPS11,RPS13,RPS27A,RPS3,SAMD4A,SAT1,SERPINE2,SLC1A2,SLC1A3,SMAD3,SOX2,SOX4,SOX9,SPARC,SPRY2,ST3GAL6,ST6GAL1,STAT3,STMN1,SYT11,TEK,THY1,TIMP1,TIMP2,TIMP3,TIMP4,TJP1,TM4SF1,TNFRSF21,TNR,TRAF4,TRIO,TXN,TXNIP,VMP1,ZEB1	Upstream
HGF Signaling	7.5543957967264	4.141	ANK3,CALCRL,CALM1 (includes others),CCN1,CCND1,CCNG1,CDKN1A,CDKN2C,DUSP6,EGR1,EMP2,ETV1,FAIM2,FAM3C,FOS,FOSB,GPSM2,GRB14,HES1,IL6ST,ITGB8,JUN,JUNB,KLF6,MAT2A,MCL1,MPC1,NAMPT,NRCAM,PHLDA1,PLPP3,PPP2R2A,RAB5A,RARRES2,RHOB,SKIL,SLC1A2,SNRNP70,SOX2,SPRY2,STC1,TIMP1,TIMP3,TJP1,TNK2,TRIB2,ZEB1	Upstream
Binding of tumor cell lines	7.97469413473523	4.14	ITGAV,NME3,PKM,FOS,STAT3,SMAD3,ST6GAL1,LRP1,ACTN4,GRIA4,FERMT2,PTPRZ1,HSP90B1,ZEB1,RAP1GAP,APP,ITGB8,NEU4,ADD3,GAL3ST1,CD47,PRNP,ETV5,CCND1,VCAN,MAGI1,ERBB3,HES1,EVL,JUNB,JUN,ASAP1,CCN1,AFDN,TJP1,PIK3R1,THY1,CD82,SNX1,PDLIM2,CALCRL,BCAN,BMP7,UGDH,MAP4K4,UCHL1,RACK1,ANXA5,EGR1,RAMP2,IGF2,PHLDA1,ADGRB1,EGR3,HSPA5,TIMP3,MCAM,RAMP1,DAB2	Functional
CREB Signaling in Neurons	1.63	4.13092194661582	ADGRA1,ADGRB1,ADGRB3,ADGRL3,AKT2,AKT3,ATF4,CACNA1A,CACNG4,CALCRL,CALM1 (includes others),CHRM3,CREB5,FGFR1,FZD3,GNG12,GNG3,GNG7,GPR155,GPR17,GPR37L1,GRIA2,GRIA3,GRIA4,GRID2,GRM5,NTRK2,NTRK3,NTSR1,PDGFRA,PDIA3,PIK3R1,PIK3R3,PRKACB,SHC3	Canonical
RELA Signaling	3.31605286924849	4.079	ACTN4,APP,ATP6AP2,B2M,BAX,BEX2,CCND1,CDKN1A,EGR1,ELMO1,FOS,FOSB,FSCN1,HES1,HSP90B1,HSPA9,IER2,IGFBP2,IRF1,JUN,JUNB,MAT2A,MIF,NAMPT,NFE2L2,PDE4B,PKM,SCN2A,SERPINE2,SLC1A2,SMAP2,SOX9,TMSB10/TMSB4X,TRIO,TUBB3	Upstream
FMR1 Signaling	44.3675427078153	4.077	ADGRB1,AGAP1,APP,ARC,ATP5MG,BASP1,BCAS1,CACNA1A,CELF4,CEND1,EGR3,FGF14,GRIA2,GRM5,KCND2,MAP1B,MRPS21,MRPS28,NKX2-2,PCDH10,PLAT,RAB3A,RACK1,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL18A,RPL19,RPL22,RPL23,RPL26,RPL30,RPL31,RPL37,RPL37A,RPL39,RPL4,RPL5,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP2,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27A,RPS28,RPS29,RPS5,RPS6,RPS7,RPS8,SLC1A2,ST3GAL6,SYT1,VWA1	Upstream
Necrosis of tumor	36.9625735020594	4.077	IRF1,RPS24,SMARCA4,RPS5,FOS,NFIC,RPS13,RPS19,PSMA7,EIF3E,RPS11,EMP2,RPL19,RPS18,TNFRSF21,PABPC1,TIMP2,RPS12,CD47,CLU,MAP3K1,VCAN,BAX,CD24,RPS27A,HES1,IDH2,JUN,CCN1,MCL1,LGALS1,RPL6,RPL5,RPL38,RPS3A,CDK6,RPS21,BMP7,HDAC2,RACK1,TXN,IGFBP2,B2M,AFAP1L2,RPS14,PHLDA1,HSPA9,TSC22D1,RPS28,RPL10,BTG1,FGFR1,RPL7A,RPL13A,ITGAV,CHD1,SPRY2,RPL37A,STC1,TEK,STAT3,FAU,RND3,RPL27A,BRD2,RPS29,RPL11,RPL35,RPS7,APP,EIF3L,MAGEH1,RPS16,RBM39,RPL7,RPLP0,PRNP,NR3C1,CCND1,RHOB,UBB,VCP,LRRK2,EIF3F,SOX4,RPL27,TIMP4,RPL35A,PIK3R1,PTN,BEX2,RPL9,RPS15A,RPL37,CDKN1A,RPL31,PURPL,MIF,PON2,JAG1,RPL13,AKT2,SON,SPARC,IL6ST,RPS3,ATF4,SOX11,NAMPT,COPA,TIMP1,NFE2L2	Functional
Cell death of tumor	37.1220530483708	3.949	IRF1,RPS24,SMARCA4,RPS5,FOS,NFIC,RPS13,RPS19,PSMA7,EIF3E,RPS11,EMP2,RPL19,RPS18,TNFRSF21,PABPC1,TIMP2,RPS12,CD47,CLU,MAP3K1,VCAN,BAX,CD24,RPS27A,HES1,IDH2,JUN,CCN1,MCL1,LGALS1,RPL6,RPL5,RPL38,RPS3A,CDK6,RPS21,BMP7,HDAC2,RACK1,TXN,IGFBP2,B2M,AFAP1L2,RPS14,PHLDA1,HSPA9,TSC22D1,RPS28,RPL10,BTG1,FGFR1,RPL7A,RPL13A,ITGAV,CHD1,SPRY2,RPL37A,STC1,TEK,STAT3,FAU,RND3,RPL27A,BRD2,RPS29,RPL11,RPL35,RPS7,APP,EIF3L,MAGEH1,RPS16,RBM39,RPL7,RPLP0,PRNP,NR3C1,CCND1,RHOB,UBB,VCP,LRRK2,EIF3F,SOX4,RPL27,TIMP4,RPL35A,PIK3R1,PTN,BEX2,RPL9,RPS15A,RPL37,CDKN1A,RPL31,PURPL,MIF,PON2,FSCN1,JAG1,RPL13,AKT2,SON,SPARC,IL6ST,RPS3,ATF4,SOX11,NAMPT,COPA,TIMP1,NFE2L2	Functional
IL5 Signaling	7.21253952548158	3.938	ANXA6,ATF4,CCNH,CD24,CDKN1A,CTSC,DUSP6,EGR1,EGR2,EGR3,GADD45G,HSP90B1,HSPA5,IER2,ITGAV,MAT2A,MTDH,MYADM,NACA,PDE4B,PDIA6,PGM1,PKM,PRDX4,PSAT1,RAP1GAP,RBM3,SFPQ,SPCS2,THY1,TRA2A,TUBB2B	Upstream
Assembly of intercellular junctions	9.68824613894425	3.919	LRRN1,DCLK1,NRCAM,ERBB4,CLSTN1,IGSF21,TNR,ACTN4,ST8SIA2,RPS6,ADGRB3,PDLIM5,APP,PPP1R9A,NFIA,GRID2,CD24,LRRK2,NEDD4L,AFDN,TJP1,GPM6A,LRRTM3,EPHA3,PIK3R1,PTN,PCDH10,NLGN1,IL1RAP,NTRK3,BCAN,NLGN3,NTRK2,CC2D1A,GRM5,FSCN1,NRXN2,HDAC2,UCHL1,ROBO1,CACNA1A,ADGRL3,RAMP2,NRXN1,CNTN1,ADGRB1,SLITRK2,PDZRN3,SEZ6L2,TIMP1,DNM3	Functional
Cell viability of tumor cell lines	17.9469215565166	3.903	DCLK1,ERBB4,MIR100HG,CCNG1,SMARCA4,PKM,CRNDE,FOS,LUC7L3,EIF3E,KIFC3,RPS11,ST6GAL1,WDR1,ELOB,FERMT2,TXNIP,CDKN2C,HSP90B1,TAOK3,MIAT,FABP7,TIMP2,PRRX1,CALR,APPL1,BRD7,CLU,MAP3K1,VCAN,EIF3H,BCLAF1,BAX,CD24,RPS27A,ERBB3,HES1,TNK2,IDH2,UQCRB,JUN,TAF1D,SRSF3,MCL1,CKB,POLR1D,CD82,ID4,RPL38,NTRK3,TRIB2,NTRK2,CDK6,HDAC2,RACK1,KLF6,TXN,RAB5A,IGFBP2,TM9SF3,KAZN,PLAT,EGR1,B2M,PPP2R2A,IGF2,PHLDA1,SNRPD2,GSE1,HSPA9,KDM1A,RPL24,ACSL3,PTPRE,FAIM2,SEPTIN9,RPL34,RPS4X,FGFR1,CASK,NME3,HINT1,TUBB3,STC1,PRKACB,TEK,STAT3,GLUD1,MTSS1,SMAD3,CDKN1C,ACTN4,CTSD,SOX2,MTDH,CCNL1,NKX2-2,SRSF6,PTPRZ1,PDGFRA,PFDN5,ZEB1,APP,PPP1R9A,S100B,BLM,SOX10,AKAP7,RPS16,RBM39,PRNP,NR3C1,CCND1,DUSP6,VCP,PGRMC1,EIF3F,RPL27,P4HB,CSNK1A1,PHGDH,AKT3,UBL5,ASAH1,RPL35A,PIK3R1,PTN,BEX2,INPP1,CDKN1A,PSAP,USP24,CC2D1A,GPR17,DEGS1,JMJD1C,HMGA1,IRS2,JAG1,CAMK2N1,SRSF2,SNRPE,SAT1,EEF1B2,AKT2,SHC3,PBX1,SOX11,NAMPT,COPA,HSPA5,TIMP3,MCAM,VAPA,SYMPK,ANKS1B,KDM6B,NFE2L2	Functional
KLF6 Signaling	4.7281583934635	3.879	ANXA5,ATP2A2,CCNL1,CD82,CDKN1A,EGR2,HSPA5,IFNAR1,IRF1,ITGB8,JUNB,KDM6B,MCL1,NAMPT,NFE2L2,OLIG2,PDE4B,PHLDA1,PKM,PLAT,RHOB,SMAD3,STAT3,TIMP1,VCAN,ZEB1	Upstream
XBP1 Signaling	7.29242982390206	3.868	APBB2,APP,ATF4,ATP2A2,CALR,DDOST,DNAJC1,DNAJC3,FKBP2,HEPN1,HERPUD1,HM13,HSP90B1,HSPA13,HSPA5,KDELR2,MYDGF,P4HB,PDIA3,PDIA6,PGM3,PPIB,PRNP,RAB3A,RPN2,SELENOM,SPARC,SPCS2,SPCS3,ST8SIA2,TXN	Upstream
NPM1 Signaling	6.46092390120722	3.838	BAMBI,CALR,CCN1,CD47,COL16A1,EGR1,EGR3,HSPA5,IGF2,IL6ST,ITGAV,JAG1,JUN,JUNB,MTSS1,MYADM,NTRK2,PLOD2,SEMA5A,SERPINE2,STC1,ZFP36L1	Upstream
